married,union,employed,voted,previousdem,female,age,country,education,lrself,gdpgrowth,inflation,cname,satisdem
1,0,0,1,1,0,70,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,20,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,35,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",1
1,0,0,1,1,0,78,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,37,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,59,"0360",6,3,3.77,5.09,"AUSTRALIA (2007)",4
1,1,0,1,1,0,69,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,1,1,1,0,51,"0360",8,2,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,60,"0360",8,6,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,55,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,49,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,40,"0360",6,3,3.77,5.09,"AUSTRALIA (2007)",2
0,0,1,1,1,1,18,"0360",6,6,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,22,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",4
1,1,0,1,1,0,85,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,21,"0360",8,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,56,"0360",6,2,3.77,5.09,"AUSTRALIA (2007)",4
1,1,1,1,1,1,43,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,38,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",2
1,0,1,1,1,0,56,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,21,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,37,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,49,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,49,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,68,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,46,"0360",8,1,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,23,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,50,"0360",8,2,3.77,5.09,"AUSTRALIA (2007)",4
0,0,0,1,1,0,66,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,88,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,27,"0360",8,6,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,35,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,44,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",4
0,0,0,1,1,0,73,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,46,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,22,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,23,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",2
1,0,0,1,1,1,53,"0360",3,2,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,44,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,28,"0360",8,9,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,52,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,67,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,73,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,51,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,40,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",4
1,1,1,1,1,1,42,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,67,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,46,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",4
1,1,0,1,1,0,70,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,36,"0360",6,4,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,63,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,58,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,63,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",2
1,1,1,1,1,1,47,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,58,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,62,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,66,"0360",6,0,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,23,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,38,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,73,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",4
0,0,1,1,1,1,20,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,47,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",2
0,0,1,1,1,1,52,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,59,"0360",6,8,3.77,5.09,"AUSTRALIA (2007)",2
0,0,1,1,1,1,23,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,58,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",4
0,0,0,1,1,1,66,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,60,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,69,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,45,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,21,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",2
1,1,0,1,1,0,55,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",2
1,0,1,1,1,0,68,"0360",3,6,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,80,"0360",8,1,3.77,5.09,"AUSTRALIA (2007)",2
1,0,0,1,1,0,69,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",3
0,1,0,1,1,0,79,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",3
1,1,0,1,1,0,69,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",2
0,0,1,1,1,0,53,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,60,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,76,"0360",8,1,3.77,5.09,"AUSTRALIA (2007)",4
1,1,0,1,1,1,43,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",2
1,0,1,1,1,1,24,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,49,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,0,80,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,0,1,1,21,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,49,"0360",6,2,3.77,5.09,"AUSTRALIA (2007)",2
0,0,0,1,1,1,60,"0360",3,0,3.77,5.09,"AUSTRALIA (2007)",1
1,0,1,1,1,1,50,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,49,"0360",8,6,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,64,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,1,35,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,68,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,69,"0360",4,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,24,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,54,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,66,"0360",6,8,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,68,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,0,85,"0360",3,6,3.77,5.09,"AUSTRALIA (2007)",4
0,0,1,1,1,0,28,"0360",8,2,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,42,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,18,"0360",3,1,3.77,5.09,"AUSTRALIA (2007)",1
1,0,1,1,1,0,55,"0360",6,8,3.77,5.09,"AUSTRALIA (2007)",1
1,0,1,1,1,0,31,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,53,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",2
1,1,1,1,1,0,50,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,1,1,1,1,38,"0360",6,2,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,66,"0360",3,2,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,48,"0360",6,9,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,0,69,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,0,55,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",1
1,0,1,1,1,1,38,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,63,"0360",6,1,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,0,75,"0360",4,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,72,"0360",6,4,3.77,5.09,"AUSTRALIA (2007)",2
1,0,0,1,1,0,61,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",4
0,1,0,1,1,1,63,"0360",6,9,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,72,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,58,"0360",6,2,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,0,1,1,40,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",1
1,0,1,1,1,1,49,"0360",6,6,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,24,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,68,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",4
1,1,1,1,1,1,41,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,54,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,0,1,1,0,74,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",4
0,1,0,1,1,1,79,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",4
0,0,0,1,1,1,19,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,79,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,60,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,51,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",4
0,0,1,1,1,1,31,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,1,1,1,1,46,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",2
0,0,1,0,1,1,21,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,0,1,1,1,56,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,0,1,1,0,63,"0360",6,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,59,"0360",3,6,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,59,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,82,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",4
0,0,0,1,1,1,63,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,74,"0360",3,0,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,77,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,77,"0360",4,7,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,20,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",4
0,1,1,1,1,1,53,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",2
0,1,1,1,1,0,49,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,51,"0360",6,8,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,19,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,46,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,1,43,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",2
0,1,0,1,1,1,21,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,26,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,51,"0360",8,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,29,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,58,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,73,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,79,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,1,40,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,0,43,"0360",8,7,3.77,5.09,"AUSTRALIA (2007)",4
0,0,0,1,1,0,89,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,71,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",2
0,0,0,1,1,1,68,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,39,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,61,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,32,"0360",6,3,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,49,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,67,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",2
1,0,0,1,1,0,79,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",3
0,1,1,1,1,1,43,"0360",8,2,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,73,"0360",6,0,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,1,52,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",2
1,0,1,1,1,1,42,"0360",6,6,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,34,"0360",4,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,56,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",4
0,0,1,1,1,1,43,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,52,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,67,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,52,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,64,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,65,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,53,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",2
1,1,1,1,1,0,40,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,50,"0360",6,10,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,40,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,82,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,20,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,1,1,1,0,25,"0360",6,4,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,59,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,1,60,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",4
1,1,1,1,1,1,53,"0360",6,4,3.77,5.09,"AUSTRALIA (2007)",2
0,0,1,1,1,1,30,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,52,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,0,61,"0360",6,6,3.77,5.09,"AUSTRALIA (2007)",4
1,1,0,1,1,0,73,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,58,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,79,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,82,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",2
1,0,1,1,1,0,44,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,46,"0360",8,6,3.77,5.09,"AUSTRALIA (2007)",3
1,1,0,1,1,1,60,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,0,50,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",1
1,0,1,1,1,1,50,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,30,"0360",6,6,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,45,"0360",6,6,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,39,"0360",8,7,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,39,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,60,"0360",6,9,3.77,5.09,"AUSTRALIA (2007)",3
1,1,0,1,1,0,60,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",4
